epoch,accuracy,val_accuracy,loss,val_loss
1,0.014705882407724857,0.05980392172932625,5.831024169921875,4.855795860290527
2,0.14215686917304993,0.3186274468898773,4.068908214569092,3.1049306392669678
3,0.3892156779766083,0.5088235139846802,2.549786329269409,2.195547103881836
4,0.5882353186607361,0.6186274290084839,1.7980817556381226,1.679382085800171
5,0.656862735748291,0.6843137145042419,1.453419804573059,1.3662176132202148
6,0.7598039507865906,0.6960784196853638,1.1090396642684937,1.2868609428405762
7,0.7872549295425415,0.7147058844566345,0.9764331579208374,1.2157155275344849
8,0.8068627715110779,0.7245097756385803,0.868263304233551,1.1610379219055176
9,0.8323529362678528,0.7470588088035583,0.7434893250465393,1.0915976762771606
10,0.8617647290229797,0.7627450823783875,0.6784183382987976,1.0628085136413574
11,0.8872548937797546,0.7637255191802979,0.5829228162765503,1.0550415515899658
12,0.906862735748291,0.7598039507865906,0.532724916934967,1.044883370399475
13,0.9117646813392639,0.7588235139846802,0.49829283356666565,1.0282882452011108
14,0.9235293865203857,0.772549033164978,0.46391114592552185,0.9990971088409424
15,0.9264705777168274,0.772549033164978,0.44757309556007385,0.9810938835144043
16,0.9480392336845398,0.7852941155433655,0.38161414861679077,0.9642465710639954
17,0.9529411792755127,0.7862744927406311,0.37036776542663574,0.9530912637710571
18,0.9450980424880981,0.7892156839370728,0.3856877088546753,0.9493309855461121
19,0.9470587968826294,0.7911764979362488,0.3833104372024536,0.9477331638336182
20,0.9480392336845398,0.7901960611343384,0.38825154304504395,0.9482865333557129
21,0.9509803652763367,0.7862744927406311,0.36932671070098877,0.9949957132339478
22,0.9441176652908325,0.7901960611343384,0.36969485878944397,0.933497965335846
23,0.9637255072593689,0.7941176295280457,0.3380579948425293,0.8906528949737549
24,0.9529411792755127,0.8078431487083435,0.3383682668209076,0.8674710988998413
25,0.9637255072593689,0.8058823347091675,0.32540270686149597,0.854146420955658
26,0.9617646932601929,0.8088235259056091,0.3262389302253723,0.8755562901496887
27,0.9745097756385803,0.8196078538894653,0.28626739978790283,0.8594527244567871
28,0.9686274528503418,0.8215686082839966,0.29084861278533936,0.8307399153709412
29,0.9598039388656616,0.813725471496582,0.30875837802886963,0.8512874841690063
30,0.9754902124404907,0.8215686082839966,0.28460803627967834,0.8251711130142212
31,0.970588207244873,0.8156862854957581,0.2848132848739624,0.8419252634048462
32,0.9823529124259949,0.8117647171020508,0.2607026696205139,0.8296631574630737
33,0.9754902124404907,0.8254901766777039,0.27969682216644287,0.7984371781349182
34,0.9852941036224365,0.8196078538894653,0.2559162974357605,0.8006337285041809
35,0.9833333492279053,0.8215686082839966,0.2584959864616394,0.7978200316429138
36,0.9754902124404907,0.8254901766777039,0.27495524287223816,0.7924128770828247
37,0.9735293984413147,0.8254901766777039,0.2620220184326172,0.7906824350357056
38,0.9833333492279053,0.8284313678741455,0.2512771189212799,0.7871270775794983
39,0.9813725352287292,0.8274509906768799,0.24956826865673065,0.7855538129806519
40,0.9852941036224365,0.8274509906768799,0.25343459844589233,0.7853773236274719
