epoch,accuracy,val_accuracy,loss,val_loss
1,0.027450980618596077,0.21176470816135406,5.434259414672852,4.410903453826904
2,0.3735294044017792,0.5980392098426819,2.8351876735687256,3.195366144180298
3,0.6647058725357056,0.6911764740943909,1.502504587173462,2.188715934753418
4,0.7892156839370728,0.729411780834198,1.0120158195495605,1.6350537538528442
5,0.8441176414489746,0.7764706015586853,0.7726567983627319,1.2863240242004395
6,0.8784313797950745,0.8049019575119019,0.6606805324554443,1.088936686515808
7,0.9078431129455566,0.7980391979217529,0.5336244702339172,1.0053573846817017
8,0.9235293865203857,0.8156862854957581,0.5018706917762756,0.9049270749092102
9,0.9441176652908325,0.8166666626930237,0.46868517994880676,0.8731598258018494
10,0.9539215564727783,0.8372548818588257,0.397764652967453,0.8341841697692871
11,0.9480392336845398,0.843137264251709,0.3995535671710968,0.7982009053230286
12,0.9764705896377563,0.8549019694328308,0.3358771502971649,0.7662628889083862
13,0.977450966835022,0.8578431606292725,0.2996615171432495,0.7552392482757568
14,0.9754902124404907,0.8617647290229797,0.3106703758239746,0.7399979829788208
15,0.9823529124259949,0.8666666746139526,0.2954650819301605,0.7132603526115417
16,0.9843137264251709,0.8666666746139526,0.28257429599761963,0.7123298048973083
17,0.9852941036224365,0.8696078658103943,0.2803363800048828,0.7035200595855713
18,0.9823529124259949,0.8686274290084839,0.2775181233882904,0.6997100114822388
19,0.9892156720161438,0.8696078658103943,0.2782374918460846,0.6957815289497375
20,0.9862744808197021,0.8696078658103943,0.27566441893577576,0.6947231888771057
21,0.779411792755127,0.8715686202049255,1.0876270532608032,0.7201313972473145
22,0.8147059082984924,0.8686274290084839,0.8866458535194397,0.7449414134025574
23,0.8715686202049255,0.8617647290229797,0.6938602924346924,0.7550287246704102
24,0.9166666865348816,0.8549019694328308,0.542282223701477,0.7540979385375977
25,0.9254902005195618,0.8549019694328308,0.5166187286376953,0.7490532398223877
26,0.9470587968826294,0.8578431606292725,0.4464215338230133,0.7443971037864685
27,0.9558823704719543,0.8598039150238037,0.41086217761039734,0.737324059009552
28,0.9470587968826294,0.8607842922210693,0.39623120427131653,0.73533034324646
29,0.9735293984413147,0.8617647290229797,0.36759406328201294,0.7296839356422424
