epoch,accuracy,val_accuracy,loss,val_loss
1,0.018627451732754707,0.04313725605607033,5.495573043823242,4.527462005615234
2,0.1411764770746231,0.26274511218070984,4.063583850860596,3.568269729614258
3,0.406862735748291,0.5107843279838562,2.5918776988983154,2.56374454498291
4,0.5921568870544434,0.5941176414489746,1.8658154010772705,1.977635145187378
5,0.6784313917160034,0.6823529601097107,1.4950155019760132,1.565343976020813
6,0.7607843279838562,0.6823529601097107,1.1648889780044556,1.4401969909667969
7,0.8009803891181946,0.6980392336845398,0.9668340086936951,1.3610851764678955
8,0.841176450252533,0.7215686440467834,0.8306722044944763,1.2210772037506104
9,0.8823529481887817,0.7529411911964417,0.6610860824584961,1.0967926979064941
10,0.9039215445518494,0.7617647051811218,0.602978527545929,1.077059268951416
11,0.9019607901573181,0.7568627595901489,0.5710964798927307,1.0172654390335083
12,0.9303921461105347,0.7647058963775635,0.49256911873817444,0.9847552180290222
13,0.9313725233078003,0.7843137383460999,0.4604799151420593,0.9858934283256531
14,0.9431372284889221,0.7892156839370728,0.42990538477897644,0.9534428715705872
15,0.9509803652763367,0.7833333611488342,0.3910013735294342,0.9266169667243958
16,0.9529411792755127,0.7921568751335144,0.37660443782806396,0.9098697304725647
17,0.949999988079071,0.7941176295280457,0.36406466364860535,0.9008030295372009
18,0.9686274528503418,0.7960784435272217,0.34037160873413086,0.8980030417442322
19,0.9686274528503418,0.7941176295280457,0.3401775360107422,0.8958871364593506
20,0.9598039388656616,0.795098066329956,0.3423336148262024,0.8950309753417969
21,0.6470588445663452,0.7784313559532166,1.4652879238128662,0.9388774633407593
22,0.7401960492134094,0.7235293984413147,1.1512411832809448,1.124626874923706
23,0.795098066329956,0.686274528503418,0.9160957932472229,1.2627862691879272
24,0.8509804010391235,0.6441176533699036,0.7412353157997131,1.4492566585540771
25,0.8882352709770203,0.6186274290084839,0.6063275337219238,1.5056639909744263
26,0.8754901885986328,0.6264705657958984,0.6131058931350708,1.5148487091064453
27,0.9039215445518494,0.6470588445663452,0.5187668800354004,1.436696171760559
28,0.9235293865203857,0.656862735748291,0.4816991984844208,1.4223233461380005
29,0.9235293865203857,0.6627451181411743,0.46683967113494873,1.3965684175491333
