epoch,accuracy,val_accuracy,loss,val_loss
1,0.2078431397676468,0.4696078300476074,3.800920248031616,3.265491008758545
2,0.6843137145042419,0.686274528503418,1.2890887260437012,2.3269143104553223
3,0.8215686082839966,0.7490196228027344,0.735714316368103,1.7921066284179688
4,0.8813725709915161,0.7617647051811218,0.5042644739151001,1.4355906248092651
5,0.9235293865203857,0.8058823347091675,0.35743945837020874,1.1429860591888428
6,0.9411764740943909,0.8107843399047852,0.2545379102230072,0.9289657473564148
7,0.9598039388656616,0.8274509906768799,0.17986077070236206,0.8042261600494385
8,0.9735293984413147,0.8401960730552673,0.15229856967926025,0.7148569822311401
9,0.9647058844566345,0.8392156958580017,0.15094415843486786,0.6533209681510925
10,0.979411780834198,0.8480392098426819,0.11702348291873932,0.6289750933647156
11,0.9843137264251709,0.8549019694328308,0.0989798754453659,0.5665445327758789
12,0.9754902124404907,0.8509804010391235,0.10920337587594986,0.5554028749465942
13,0.9784313440322876,0.8460784554481506,0.10549726337194443,0.5690233707427979
14,0.977450966835022,0.8529411554336548,0.10258176177740097,0.5350936055183411
15,0.9852941036224365,0.8549019694328308,0.07352405786514282,0.5238495469093323
16,0.8598039150238037,0.8598039150238037,0.563566267490387,0.4842175245285034
